time,Ask_Price_1,Ask_Volume_1,Bid_Price_1,Bid_Volume_1,Ask_Price_2,Ask_Volume_2,Bid_Price_2,Bid_Volume_2,Ask_Price_3,Ask_Volume_3,Bid_Price_3,Bid_Volume_3,Ask_Price_4,Ask_Volume_4,Bid_Price_4,Bid_Volume_4,Ask_Price_5,Ask_Volume_5,Bid_Price_5,Bid_Volume_5,Ask_Price_6,Ask_Volume_6,Bid_Price_6,Bid_Volume_6,Ask_Price_7,Ask_Volume_7,Bid_Price_7,Bid_Volume_7,Ask_Price_8,Ask_Volume_8,Bid_Price_8,Bid_Volume_8,Ask_Price_9,Ask_Volume_9,Bid_Price_9,Bid_Volume_9,Ask_Price_10,Ask_Volume_10,Bid_Price_10,Bid_Volume_10
34200.0204,1750831,344,1750631,67,1751031,365,1750431,207,1751031,601,1750431,130,1751231,1361,1750231,472,1751231,1335,1750131,518,1751331,1841,1750131,565,1751531,2063,1750031,685,1751531,2011,1749831,588,1751731,2046,1749731,438,1751731,2709,1749631,1129
34200.0268,1750675,275,1750475,62,1750775,565,1750275,216,1750875,711,1750275,335,1750975,770,1750175,177,1751175,1632,1749975,209,1751175,1184,1749975,660,1751275,1297,1749775,394,1751475,2329,1749775,644,1751475,2125,1749575,620,1751675,3159,1749475,1114
34200.0315,1751724,240,1751324,79,1751824,532,1751224,204,1751824,627,1751124,220,1751924,756,1751024,415,1752124,1278,1750924,495,1752224,1266,1750924,594,1752224,2317,1750824,650,1752324,2326,1750724,641,1752424,2254,1750524,1077,1752624,1921,1750524,999
34200.0375,1753805,312,1753505,93,1753905,671,1753405,206,1754005,549,1753405,220,1754205,831,1753305,383,1754205,1726,1753205,321,1754405,1183,1753105,684,1754505,2117,1753005,626,1754605,1891,1752905,665,1754605,3001,1752805,1040,1754805,3324,1752705,436
34200.0822,1753624,319,1753324,52,1753624,370,1753224,164,1753724,852,1753024,263,1753924,992,1753024,458,1753924,1699,1752824,445,1754124,1837,1752724,478,1754224,2200,1752724,686,1754224,1948,1752524,888,1754324,1735,1752524,718,1754524,1856,1752324,1013
34200.0859,1753248,333,1752948,74,1753448,474,1752848,230,1753448,724,1752848,320,1753648,745,1752748,174,1753748,1490,1752548,345,1753748,1713,1752448,327,1753948,1677,1752448,589,1754048,2266,1752248,689,1754048,2340,1752248,1008,1754148,3364,1752148,722
34200.1074,1755619,207,1755219,55,1755619,450,1755219,155,1755719,719,1755119,173,1755819,1131,1755019,358,1756019,1660,1754919,409,1756119,1248,1754719,408,1756219,1510,1754619,672,1756219,2746,1754519,893,1756319,2847,1754419,1068,1756519,2345,1754419,733
34200.1784,1756655,349,1756355,101,1756855,447,1756255,205,1756855,550,1756255,333,1756955,1033,1756155,397,1757055,1186,1755955,369,1757155,1611,1755855,445,1757255,1458,1755855,547,1757355,2606,1755755,721,1757555,2830,1755555,1009,1757655,3115,1755555,837
34200.1968,1756057,307,1755757,110,1756257,538,1755757,187,1756357,935,1755557,181,1756457,881,1755457,455,1756457,1586,1755357,306,1756657,2067,1755357,540,1756657,1827,1755157,454,1756757,2544,1755157,573,1756857,2608,1755057,375,1756957,2515,1754957,949
34200.2698,1756984,338,1756584,46,1757084,496,1756484,219,1757184,797,1756384,172,1757184,1238,1756284,177,1757284,1684,1756284,583,1757484,1360,1756084,393,1757584,1480,1755984,757,1757684,2791,1755984,529,1757684,1637,1755884,405,1757884,2719,1755684,666
34200.3393,1756301,192,1756101,113,1756401,672,1755901,182,1756601,985,1755801,202,1756601,979,1755801,368,1756801,945,1755701,529,1756801,1880,1755601,413,1756901,2263,1755401,483,1757001,2357,1755401,438,1757101,2760,1755301,886,1757301,2132,1755201,1037
34200.3544,1755819,349,1755519,98,1755819,515,1755419,195,1756019,906,1755219,149,1756019,1155,1755119,162,1756219,962,1755019,508,1756319,1777,1755019,406,1756319,2053,1754919,540,1756519,2385,1754819,330,1756519,2285,1754619,816,1756719,2914,1754619,1195
34200.4206,1756233,274,1755933,70,1756233,406,1755833,99,1756433,957,1755633,201,1756433,1359,1755533,449,1756533,1501,1755433,503,1756733,1417,1755333,662,1756733,2295,1755233,532,1756833,1745,1755133,549,1756933,1728,1755133,551,1757133,2990,1755033,1081
